iter	Passed	Remaining
0	90	90713
1	93	46567
2	95	31843
3	97	24376
4	100	19933
5	102	17018
6	105	15035
7	108	13455
8	110	12167
9	112	11129
10	114	10313
11	116	9627
12	119	9075
13	122	8633
14	124	8205
15	127	7839
16	129	7513
17	131	7200
18	135	6976
19	137	6748
20	140	6527
21	142	6334
22	144	6138
23	146	5958
24	149	5814
25	151	5679
26	153	5545
27	156	5420
28	158	5311
29	160	5198
30	163	5117
31	166	5040
32	169	4967
33	172	4888
34	174	4820
35	181	4858
36	185	4817
37	188	4766
38	191	4726
39	195	4690
40	197	4629
41	200	4573
42	202	4508
43	204	4444
44	206	4384
45	208	4330
46	211	4291
47	214	4248
48	216	4207
49	219	4167
50	221	4122
51	224	4092
52	226	4055
53	229	4020
54	231	3983
55	234	3945
56	236	3912
57	239	3888
58	242	3860
59	244	3827
60	246	3797
61	248	3762
62	250	3728
63	252	3695
64	255	3672
65	257	3648
66	260	3625
67	262	3597
68	264	3569
69	266	3541
70	269	3522
71	271	3503
72	273	3477
73	275	3451
74	277	3425
75	279	3400
76	281	3376
77	283	3354
78	286	3341
79	288	3319
80	290	3297
81	292	3275
82	294	3253
83	296	3232
84	298	3213
85	301	3200
86	303	3182
87	305	3162
88	307	3144
89	309	3125
90	310	3099
91	312	3087
92	316	3082
93	318	3073
94	321	3063
95	323	3050
96	327	3045
97	329	3035
98	332	3029
99	335	3016
100	337	2999
101	338	2984
102	340	2969
103	343	2957
104	345	2944
105	347	2932
106	349	2918
107	351	2904
108	353	2890
109	355	2878
110	358	2870
111	360	2859
112	363	2853
113	366	2846
114	368	2838
115	371	2828
116	373	2821
117	377	2819
118	379	2812
119	382	2803
120	384	2795
121	387	2786
122	390	2782
123	392	2775
124	396	2772
125	398	2762
126	400	2751
127	402	2741
128	405	2735
129	407	2727
130	410	2724
131	413	2715
132	415	2705
133	417	2695
134	419	2687
135	421	2677
136	425	2679
137	427	2673
138	429	2663
139	432	2654
140	434	2647
141	436	2637
142	439	2633
143	442	2629
144	444	2621
145	446	2614
146	450	2611
147	453	2608
148	456	2605
149	459	2601
150	462	2598
151	464	2591
152	467	2586
153	470	2585
154	473	2579
155	475	2572
156	478	2567
157	480	2560
158	482	2554
159	487	2557
160	490	2555
161	494	2556
162	496	2551
163	502	2560
164	505	2559
165	511	2570
166	515	2569
167	519	2572
168	525	2585
169	531	2596
170	535	2596
171	538	2592
172	540	2584
173	543	2578
174	547	2579
175	550	2575
176	552	2569
177	554	2561
178	557	2558
179	561	2555
180	564	2554
181	567	2550
182	570	2545
183	572	2539
184	576	2540
185	580	2538
186	582	2532
187	585	2527
188	587	2520
189	589	2514
190	594	2516
191	596	2509
192	599	2504
193	601	2499
194	603	2492
195	606	2488
196	609	2484
197	611	2478
198	614	2474
199	617	2469
200	619	2463
201	623	2461
202	626	2459
203	628	2453
204	630	2446
205	633	2439
206	635	2433
207	639	2434
208	641	2429
209	644	2425
210	647	2420
211	649	2414
212	651	2408
213	655	2406
214	657	2402
215	660	2396
216	662	2389
217	664	2382
218	666	2376
219	670	2376
220	672	2371
221	676	2371
222	679	2366
223	682	2365
224	690	2378
225	692	2373
226	695	2369
227	698	2364
228	701	2360
229	703	2356
230	706	2351
231	709	2347
232	711	2341
233	713	2336
234	716	2331
235	719	2329
236	722	2324
237	724	2320
238	727	2315
239	730	2312
240	733	2309
241	735	2304
242	738	2299
243	740	2295
244	743	2290
245	746	2288
246	749	2283
247	751	2278
248	753	2272
249	755	2267
250	758	2262
251	760	2258
252	763	2255
253	766	2252
254	768	2246
255	771	2241
256	773	2235
257	775	2230
258	778	2226
259	780	2222
260	783	2217
261	785	2212
262	787	2206
263	789	2201
264	792	2198
265	795	2193
266	797	2188
267	799	2183
268	801	2178
269	803	2172
270	806	2169
271	809	2165
272	811	2161
273	813	2156
274	816	2151
275	818	2145
276	820	2142
277	824	2141
278	827	2138
279	830	2135
280	832	2131
281	838	2135
282	842	2134
283	845	2131
284	847	2126
285	849	2121
286	852	2116
287	854	2113
288	857	2108
289	859	2103
290	861	2098
291	863	2093
292	865	2089
293	868	2086
294	870	2081
295	872	2076
296	874	2070
297	876	2065
298	878	2060
299	880	2054
300	883	2051
301	885	2047
302	888	2042
303	890	2038
304	892	2033
305	894	2028
306	896	2022
307	898	2019
308	901	2016
309	904	2012
310	906	2007
311	908	2002
312	910	1997
313	912	1993
314	915	1990
315	917	1986
316	919	1981
317	922	1977
318	924	1972
319	925	1967
320	928	1963
321	930	1959
322	933	1956
323	935	1952
324	937	1947
325	940	1944
326	942	1939
327	944	1935
328	947	1932
329	950	1929
330	953	1926
331	955	1922
332	958	1920
333	962	1918
334	964	1914
335	967	1911
336	969	1908
337	972	1904
338	975	1901
339	977	1898
340	980	1895
341	984	1893
342	988	1894
343	992	1893
344	996	1892
345	999	1889
346	1002	1885
347	1005	1882
348	1007	1878
349	1009	1874
350	1012	1871
351	1014	1866
352	1016	1862
353	1018	1858
354	1021	1855
355	1023	1852
356	1026	1849
357	1028	1844
358	1030	1840
359	1033	1836
360	1036	1834
361	1038	1830
362	1041	1828
363	1043	1823
364	1045	1819
365	1048	1815
366	1050	1812
367	1053	1809
368	1055	1804
369	1057	1800
370	1059	1796
371	1061	1792
372	1063	1788
373	1066	1785
374	1069	1782
375	1071	1778
376	1073	1774
377	1075	1770
378	1078	1766
379	1081	1763
380	1084	1761
381	1086	1758
382	1089	1754
383	1091	1750
384	1093	1746
385	1095	1743
386	1098	1739
387	1100	1735
388	1102	1731
389	1104	1727
390	1106	1723
391	1108	1719
392	1110	1715
393	1113	1712
394	1115	1708
395	1117	1704
396	1120	1701
397	1122	1698
